nut1 50,nut1 100,nut1 50,nut1 100
0,0,0.001382839,0.00067852
0,0,0.001382067,0.000677904
0,0,0.001381304,0.000677303
0,0,0.001380551,0.000676718
0,0,0.001379807,0.00067615
0,0,0.001379072,0.000675597
0,0,0.001378347,0.000675061
0,0,0.001377631,0.000674541
0,0,0.001376924,0.000674037
0,0,0.001376227,0.000673549
0,0,0.00137554,0.000673076
0,0,0.001374862,0.00067262
0,0,0.001374193,0.00067218
0,0,0.001373533,0.000671756
0,0,0.001372883,0.000671348
0,0,0.001372243,0.000670955
0,0,0.001371611,0.000670579
0,0,0.00137099,0.000670218
0,0,0.001370377,0.000669874
0,0,0.001369774,0.000669545
0,0,0.001369181,0.000669232
0,0,0.001368597,0.000668935
0,0,0.001368022,0.000668654
0,0,0.001367457,0.000668389
0,0,0.001366902,0.000668139
0,0,0.001366355,0.000667905
0,0,0.001365819,0.000667687
0,0,0.001365291,0.000667485
0,0,0.001364773,0.000667298
0,0,0.001364265,0.000667127
0,0,0.001363766,0.000666972
0,0,0.001363277,0.000666832
0,0,0.001362797,0.000666708
0,0,0.001362326,0.0006666
0,0,0.001361865,0.000666508
0,0,0.001361414,0.000666431
0,0,0.001360972,0.000666369
0,0,0.001360539,0.000666323
0,0,0.001360116,0.000666293
0,0,0.001359703,0.000666278
0,0,0.001359299,0.000666279
0,0,0.001358904,0.000666295
0,0,0.00135852,0.000666327
0,0,0.001358144,0.000666375
0,0,0.001357778,0.000666437
0,0,0.001357422,0.000666516
0,0,0.001357075,0.000666609
0,0,0.001356738,0.000666718
0,0,0.00135641,0.000666843
0,0,0.001356092,0.000666983
0,0,0.001355783,0.000667138
0,0,0.001355484,0.000667308
0,0,0.001355194,0.000667494
0,0,0.001354914,0.000667696
0,0,0.001354644,0.000667912
0,0,0.001354383,0.000668144
0,0,1.35E-03,6.68E-04
0,0,1.35E-03,6.69E-04
0,0,1.35E-03,6.69E-04
0,0,1.35E-03,6.69E-04
0,0,1.35E-03,6.70E-04
0,0,1.35E-03,6.70E-04
0,0,1.35E-03,6.70E-04
0,0,1.35E-03,6.71E-04
0,0,1.35E-03,6.71E-04
0,0,1.35E-03,6.71E-04
0,0,1.35E-03,6.72E-04
0,0,1.35E-03,6.72E-04
0,0,1.35E-03,6.73E-04
0,0,1.35E-03,6.73E-04
0,0,1.35E-03,6.73E-04
0,0,0.001351512,0.000673922
0,0,0.001351415,0.000674411
0,0,0.001351326,0.000674916
0,0,0.001351248,0.000675435
0,0,0.001351179,0.00067597
0,0,0.00135112,0.000676519
0,0,0.00135107,0.000677084
0,0,0.00135103,0.000677663
0,0,0.001351,0.000678257
0,0,0.001350979,0.000678867
0,0,0.001350968,0.000679491
0,0,0.001350967,0.00068013
0,0,0.001350975,0.000680783
0,0,0.001350993,0.000681452
0,0,0.00135102,0.000682136
0,0,0.001351058,0.000682834
0,0,0.001351104,0.000683547
0,0,0.001351161,0.000684275
0,0,0.001351227,0.000685018
0,0,0.001351303,0.000685775
0,0,1.35E-03,6.87E-04
