hir3 50,hir3 100,hir3 50,hir3 100
0,0,-0.001473284,-0.000894294
0,0,-0.00145676,-0.00087909
0,0,-0.001440263,-0.000863914
0,0,-0.001423793,-0.000848766
0,0,-0.001407351,-0.000833645
0,0,-0.001390935,-0.000818553
0,0,-0.001374546,-0.000803489
0,0,-0.001358184,-0.000788453
0,0,-0.001341848,-0.000773445
0,0,-0.00132554,-0.000758464
0,0,-0.001309258,-0.000743511
0,0,-0.001293004,-0.000728586
0,0,-0.001276775,-0.000713689
0,0,-0.001260574,-0.000698819
0,0,-0.001244399,-0.000683977
0,0,-0.00122825,-0.000669162
0,0,-0.001212129,-0.000654375
0,0,-0.001196033,-0.000639616
0,0,-0.001179964,-0.000624883
0,0,-0.001163922,-0.000610179
0,0,-0.001147906,-0.000595501
0,0,-0.001131916,-0.000580851
0,0,-0.001115953,-0.000566228
0,0,-0.001100015,-0.000551633
0,0,-0.001084104,-0.000537064
0,0,-0.00106822,-0.000522523
0,0,-0.001052361,-0.000508009
0,0,-0.001036528,-0.000493522
0,0,-0.001020722,-0.000479062
0,0,-0.001004941,-0.000464629
0,0,-0.000989187,-0.000450222
0,0,-0.000973458,-0.000435843
0,0,-0.000957756,-0.000421491
0,0,-0.000942079,-0.000407165
0,0,-0.000926428,-0.000392866
0,0,-0.000910803,-0.000378594
0,0,-0.000895203,-0.000364349
0,0,-0.00087963,-0.00035013
0,0,-0.000864082,-0.000335938
0,0,-0.000848559,-0.000321772
0,0,-0.000833062,-0.000307633
0,0,-0.000817591,-0.000293521
0,0,-0.000802145,-0.000279435
0,0,-0.000786725,-0.000265375
0,0,-0.00077133,-0.000251342
0,0,-0.000755961,-0.000237335
0,0,-0.000740617,-0.000223354
0,0,-0.000725298,-0.000209399
0,0,-0.000710005,-0.000195471
0,0,-0.000694737,-0.000181569
0,0,-0.000679494,-0.000167693
0,0,-0.000664276,-0.000153843
0,0,-0.000649083,-0.000140019
0,0,-0.000633915,-0.000126221
0,0,-0.000618773,-0.000112449
0,0,-0.000603655,-9.87E-05
0,0,-0.000588563,-8.50E-05
0,0,-0.000573495,-7.13E-05
0,0,-0.000558453,-5.76E-05
0,0,-0.000543435,-4.40E-05
0,0,-0.000528442,-3.04E-05
0,0,-0.000513474,-1.68E-05
0,0,-0.00049853,-3.20E-06
0,0,-0.000483611,1.03E-05
0,0,-0.000468717,2.39E-05
0,0,-0.000453848,3.73E-05
0,0,-0.000439003,5.08E-05
0,0,-0.000424183,6.42E-05
0,0,-0.000409387,7.77E-05
0,0,-0.000394616,9.10E-05
0,0,-0.000379869,0.000104403
0,0,-0.000365147,0.00011774
0,0,-0.000350449,0.000131051
0,0,-0.000335775,0.000144338
0,0,-0.000321125,0.000157599
0,0,-0.0003065,0.000170835
0,0,-0.000291899,0.000184046
0,0,-0.000277323,0.000197231
0,0,-0.00026277,0.000210392
0,0,-0.000248242,0.000223528
0,0,-0.000233737,0.000236639
0,0,-0.000219257,0.000249725
0,0,-0.000204801,0.000262786
0,0,-0.000190368,0.000275823
0,0,-0.00017596,0.000288834
0,0,-0.000161575,0.000301821
0,0,-0.000147214,0.000314783
0,0,-0.000132878,0.000327721
0,0,-0.000118564,0.000340634
