bur2 50,bur2 100
0.002735699,0.00095083
0.002733926,0.00095037
0.002732178,0.000949909
0.002730454,0.000949447
0.002728755,0.000948983
0.00272708,0.000948518
0.00272543,0.000948052
0.002723804,0.000947585
0.002722202,0.000947116
0.002720624,0.000946647
0.002719071,0.000946176
0.002717542,0.000945704
0.002716037,0.000945231
0.002714557,0.000944756
0.0027131,0.000944281
0.002711668,0.000943805
0.00271026,0.000943327
0.002708876,0.000942849
0.002707516,0.000942369
0.00270618,0.000941889
0.002704869,0.000941408
0.002703581,0.000940925
0.002702317,0.000940442
0.002701078,0.000939958
0.002699862,0.000939473
0.00269867,0.000938986
0.002697503,0.0009385
0.002696359,0.000938012
0.002695239,0.000937523
0.002694143,0.000937034
0.00269307,0.000936544
0.002692022,0.000936053
0.002690997,0.000935561
0.002689997,0.000935069
0.00268902,0.000934576
0.002688066,0.000934082
0.002687137,0.000933587
0.002686231,0.000933092
0.002685349,0.000932596
0.00268449,0.0009321
0.002683655,0.000931603
0.002682844,0.000931105
0.002682057,0.000930607
0.002681293,0.000930108
0.002680552,0.000929609
0.002679835,0.000929109
0.002679142,0.000928608
0.002678472,0.000928108
0.002677826,0.000927606
0.002677203,0.000927104
0.002676603,0.000926602
0.002676027,0.000926099
0.002675474,0.000925596
0.002674945,0.000925093
0.002674439,0.000924589
0.002673957,0.000924085
0.002673497,0.000923581
0.002673061,0.000923076
0.002672649,0.000922571
0.002672259,0.000922065
0.002671893,0.00092156
0.00267155,0.000921054
0.00267123,0.000920548
0.002670933,0.000920041
0.00267066,0.000919535
0.00267041,0.000919028
0.002670182,0.000918521
0.002669978,0.000918014
0.002669797,0.000917507
0.002669639,0.000917
0.002669504,0.000916493
0.002669392,0.000915986
0.002669303,0.000915478
0.002669237,0.000914971
0.002669194,0.000914463
0.002669174,0.000913956
0.002669177,0.000913448
0.002669203,0.000912941
0.002669251,0.000912433
0.002669323,0.000911926
0.002669417,0.000911419
0.002669534,0.000910912
0.002669674,0.000910405
0.002669837,0.000909898
0.002670022,0.000909391
0.00267023,0.000908884
0.002670461,0.000908378
0.002670715,0.000907872
0.002670991,0.000907366
0.00267129,0.00090686
0.002671611,0.000906355
0.002671955,0.000905849
0.002672322,0.000905344
0.002672711,0.00090484
0.002673123,0.000904335
0.002673557,0.000903831
0.002674014,0.000903328
0.002674493,0.000902824
0.002674995,0.000902321
0.002675519,0.000901819
0.002676066,0.000901317
0.002676635,0.000900815
0.002677227,0.000900314
0.00267784,0.000899813
0.002678477,0.000899313
0.002679135,0.000898813
0.002679816,0.000898314
0.002680519,0.000897815
0.002681245,0.000897316
0.002681992,0.000896819
0.002682762,0.000896322
0.002683554,0.000895825
0.002684368,0.000895329
0.002685205,0.000894834
0.002686064,0.000894339
0.002686944,0.000893845
0.002687847,0.000893352
0.002688772,0.000892859
0.002689719,0.000892367
0.002690688,0.000891876
0.002691679,0.000891386
0.002692692,0.000890896
0.002693727,0.000890407
0.002694785,0.000889919
0.002695864,0.000889432
0.002696965,0.000888945
0.002698087,0.000888459
0.002699232,0.000887974
0.002700399,0.00088749
0.002701587,0.000887007
0.002702798,0.000886525
0.00270403,0.000886044
0.002705284,0.000885563
0.00270656,0.000885084
0.002707857,0.000884605
0.002709176,0.000884128
0.002710517,0.000883651
0.00271188,0.000883175
0.002713264,0.000882701
0.00271467,0.000882227
0.002716098,0.000881755
0.002717547,0.000881284
0.002719018,0.000880813
0.002720511,0.000880344
0.002722025,0.000879876
0.00272356,0.000879409
0.002725117,0.000878943
0.002726696,0.000878478
0.002728296,0.000878015
0.002729918,0.000877553
0.002731561,0.000877091
0.002733225,0.000876631
0.002734911,0.000876173
0.002736618,0.000875715
0.002738347,0.000875259
0.002740096,0.000874804
0.002741868,0.000874351
0.00274366,0.000873898
0.002745474,0.000873447
0.002747309,0.000872998
0.002749166,0.000872549
0.002751043,0.000872103
0.002752942,0.000871657
0.002754862,0.000871213
0.002756803,0.00087077
0.002758766,0.000870329
0.002760749,0.000869889
0.002762754,0.000869451
0.00276478,0.000869014
0.002766826,0.000868578
0.002768894,0.000868144
0.002770983,0.000867712
0.002773093,0.000867281
0.002775224,0.000866852
0.002777376,0.000866424
0.002779549,0.000865998
0.002781743,0.000865573
0.002783957,0.00086515
0.002786193,0.000864729
0.00278845,0.000864309
0.002790727,0.000863891
0.002793025,0.000863474
0.002795345,0.000863059
0.002797684,0.000862646
0.002800045,0.000862235
0.002802427,0.000861825
0.002804829,0.000861417
0.002807252,0.000861011
0.002809696,0.000860607
0.00281216,0.000860204
0.002814645,0.000859803
0.002817151,0.000859404
0.002819677,0.000859007
0.002822224,0.000858612
0.002824792,0.000858218
0.00282738,0.000857827
0.002829989,0.000857437
0.002832618,0.000857049
0.002835268,0.000856663
0.002837938,0.000856279
0.002840629,0.000855897
0.00284334,0.000855516
0.002846072,0.000855138
0.002848824,0.000854762
0.002851597,0.000854388
0.00285439,0.000854015
0.002857203,0.000853645
0.002860037,0.000853277
0.002862891,0.000852911
0.002865766,0.000852547
0.00286866,0.000852185
0.002871575,0.000851825
0.002874511,0.000851467
0.002877466,0.000851111
0.002880442,0.000850758
0.002883438,0.000850406
0.002886454,0.000850057
0.00288949,0.00084971
0.002892547,0.000849365
0.002895623,0.000849022
0.00289872,0.000848682
0.002901837,0.000848343
0.002904974,0.000848007
0.002908131,0.000847673
0.002911308,0.000847342
0.002914505,0.000847013
0.002917722,0.000846686
0.002920959,0.000846361
0.002924216,0.000846039
0.002927492,0.000845719
0.002930789,0.000845401
0.002934106,0.000845086
0.002937443,0.000844773
0.002940799,0.000844462
0.002944176,0.000844154
0.002947572,0.000843848
0.002950988,0.000843545
0.002954424,0.000843244
0.002957879,0.000842946
0.002961355,0.00084265
0.00296485,0.000842356
0.002968365,0.000842065
0.002971899,0.000841777
0.002975454,0.000841491
0.002979028,0.000841208
0.002982621,0.000840927
0.002986234,0.000840648
0.002989867,0.000840373
0.00299352,0.0008401
0.002997192,0.000839829
0.003000883,0.000839561
0.003004594,0.000839296
0.003008325,0.000839033
0.003012075,0.000838773
0.003015845,0.000838516
0.003019634,0.000838261
0.003023443,0.000838009
0.003027271,0.00083776
0.003031118,0.000837513
0.003034985,0.00083727
0.003038871,0.000837028
0.003042777,0.00083679
0.003046701,0.000836555
0.003050646,0.000836322
0.003054609,0.000836092
0.003058592,0.000835865
0.003062594,0.00083564
0.003066615,0.000835419
0.003070656,0.0008352
0.003074716,0.000834984
0.003078795,0.000834771
0.003082893,0.000834561
0.00308701,0.000834354
0.003091147,0.00083415
0.003095302,0.000833948
0.003099477,0.00083375
0.003103671,0.000833554
0.003107884,0.000833362
0.003112116,0.000833172
0.003116367,0.000832986
0.003120637,0.000832802
0.003124926,0.000832621
0.003129234,0.000832444
0.003133561,0.000832269
0.003137907,0.000832098
0.003142271,0.000831929
0.003146655,0.000831764
0.003151058,0.000831602
0.003155479,0.000831442
0.00315992,0.000831286
0.003164379,0.000831133
0.003168857,0.000830983
0.003173354,0.000830837
0.003177869,0.000830693
0.003182404,0.000830553
0.003186957,0.000830415
0.003191529,0.000830281
0.003196119,0.000830151
0.003200728,0.000830023
0.003205356,0.000829899
0.003210003,0.000829777
0.003214668,0.00082966
0.003219352,0.000829545
0.003224054,0.000829434
0.003228776,0.000829325
0.003233515,0.000829221
0.003238273,0.000829119
0.00324305,0.000829021
0.003247845,0.000828926
0.003252659,0.000828835
0.003257491,0.000828747
0.003262342,0.000828662
0.003267211,0.00082858
0.003272099,0.000828502
0.003277005,0.000828428
0.003281929,0.000828357
0.003286872,0.000828289
0.003291833,0.000828225
0.003296812,0.000828164
0.00330181,0.000828106
0.003306826,0.000828052
0.003311861,0.000828002
0.003316913,0.000827955
0.003321984,0.000827912
0.003327073,0.000827872
0.003332181,0.000827835
0.003337306,0.000827803
0.00334245,0.000827773
0.003347612,0.000827748
0.003352792,0.000827725
0.00335799,0.000827707
0.003363207,0.000827692
0.003368441,0.000827681
0.003373694,0.000827673
0.003378964,0.000827669
0.003384253,0.000827668
0.003389559,0.000827672
0.003394884,0.000827678
0.003400227,0.000827689
0.003405587,0.000827703
0.003410966,0.000827721
0.003416362,0.000827743
0.003421777,0.000827768
0.003427209,0.000827797
0.003432659,0.00082783
0.003438128,0.000827867
0.003443614,0.000827907
0.003449117,0.000827951
0.003454639,0.000827999
0.003460178,0.000828051
0.003465736,0.000828107
0.003471311,0.000828166
0.003476903,0.000828229
0.003482514,0.000828297
0.003488142,0.000828367
0.003493788,0.000828442
0.003499451,0.000828521
0.003505133,0.000828604
0.003510832,0.00082869
0.003516548,0.00082878
0.003522282,0.000828875
0.003528034,0.000828973
0.003533803,0.000829075
0.00353959,0.000829181
0.003545395,0.000829291
0.003551216,0.000829405
0.003557056,0.000829524
0.003562913,0.000829646
0.003568787,0.000829772
0.003574679,0.000829902
0.003580589,0.000830036
0.003586515,0.000830174
0.003592459,0.000830316
0.003598421,0.000830462
0.0036044,0.000830613
0.003610396,0.000830767
0.00361641,0.000830926
0.003622441,0.000831088
0.003628489,0.000831255
0.003634555,0.000831426
0.003640638,0.000831601
0.003646738,0.00083178
0.003652855,0.000831963
0.00365899,0.000832151
0.003665141,0.000832342
0.00367131,0.000832538
0.003677496,0.000832738
0.0036837,0.000832942
0.00368992,0.000833151
0.003696158,0.000833364
0.003702412,0.00083358
0.003708684,0.000833802
0.003714973,0.000834027
0.003721279,0.000834257
0.003727602,0.000834491
0.003733942,0.000834729
0.003740298,0.000834971
0.003746672,0.000835218
0.003753063,0.000835469
0.003759471,0.000835725
0.003765896,0.000835985
0.003772338,0.000836249
0.003778796,0.000836517
0.003785272,0.00083679
0.003791764,0.000837068
0.003798273,0.000837349
0.003804799,0.000837635
0.003811342,0.000837926
0.003817902,0.000838221
0.003824478,0.00083852
0.003831072,0.000838824
0.003837682,0.000839132
0.003844308,0.000839445
0.003850952,0.000839762
0.003857612,0.000840084
0.003864289,0.00084041
0.003870982,0.00084074
0.003877693,0.000841075
0.003884419,0.000841415
0.003891163,0.000841759
0.003897923,0.000842108
0.003904699,0.000842461
0.003911493,0.000842819
0.003918302,0.000843181
0.003925129,0.000843548
0.003931972,0.00084392
0.003938831,0.000844296
0.003945707,0.000844677
0.003952599,0.000845062
0.003959508,0.000845452
0.003966433,0.000845847
0.003973375,0.000846246
0.003980333,0.00084665
0.003987307,0.000847058
0.003994298,0.000847472
0.004001305,0.00084789
0.004008329,0.000848312
0.004015368,0.000848739
0.004022425,0.000849171
0.004029497,0.000849608
0.004036586,0.00085005
0.004043691,0.000850496
0.004050812,0.000850947
0.004057949,0.000851402
0.004065103,0.000851863
0.004072273,0.000852328
0.004079459,0.000852798
0.004086661,0.000853273
0.00409388,0.000853753
0.004101114,0.000854237
0.004108365,0.000854726
0.004115631,0.00085522
0.004122914,0.000855719
0.004130213,0.000856223
0.004137528,0.000856731
0.004144859,0.000857245
0.004152206,0.000857763
0.004159569,0.000858286
0.004166948,0.000858815
0.004174343,0.000859348
0.004181754,0.000859886
0.00418918,0.000860428
0.004196623,0.000860976
0.004204082,0.000861529
0.004211556,0.000862087
0.004219047,0.000862649
0.004226553,0.000863217
0.004234075,0.000863789
0.004241613,0.000864367
0.004249167,0.000864949
0.004256736,0.000865537
0.004264322,0.000866129
0.004271923,0.000866727
0.00427954,0.000867329
0.004287172,0.000867937
0.004294821,0.00086855
0.004302485,0.000869167
0.004310164,0.00086979
0.00431786,0.000870418
0.004325571,0.000871051
0.004333297,0.000871689
0.004341039,0.000872332
0.004348797,0.00087298
0.004356571,0.000873634
0.00436436,0.000874292
0.004372164,0.000874955
0.004379984,0.000875624
0.00438782,0.000876298
0.004395671,0.000876977
0.004403538,0.000877661
0.00441142,0.00087835
0.004419317,0.000879045
0.00442723,0.000879745
0.004435159,0.00088045
0.004443103,0.00088116
0.004451062,0.000881875
0.004459037,0.000882596
0.004467027,0.000883321
0.004475032,0.000884052
0.004483053,0.000884789
0.004491089,0.00088553
0.00449914,0.000886277
0.004507207,0.000887029
0.004515288,0.000887786
0.004523386,0.000888549
0.004531498,0.000889317
0.004539626,0.00089009
0.004547768,0.000890868
0.004555926,0.000891652
0.0045641,0.000892441
0.004572288,0.000893236
0.004580491,0.000894036
0.00458871,0.000894841
0.004596944,0.000895652
0.004605193,0.000896468
0.004613457,0.000897289
0.004621736,0.000898116
0.00463003,0.000898948
0.004638339,0.000899785
0.004646663,0.000900628
0.004655002,0.000901476
0.004663356,0.00090233
0.004671725,0.000903189
0.004680109,0.000904054
0.004688508,0.000904924
0.004696922,0.0009058
0.004705351,0.000906681
0.004713795,0.000907567
0.004722254,0.000908459
0.004730727,0.000909357
0.004739216,0.00091026
0.004747719,0.000911168
0.004756237,0.000912082
0.00476477,0.000913001
0.004773317,0.000913926
0.00478188,0.000914857
0.004790457,0.000915793
0.004799049,0.000916735
0.004807656,0.000917682
0.004816277,0.000918635
0.004824913,0.000919593
0.004833564,0.000920557
0.004842229,0.000921526
0.004850909,0.000922502
0.004859604,0.000923482
0.004868313,0.000924469
0.004877037,0.00092546
0.004885776,0.000926458
0.004894529,0.000927461
0.004903297,0.00092847
0.004912079,0.000929485
0.004920876,0.000930505
0.004929687,0.000931531
0.004938513,0.000932562
0.004947353,0.000933599
0.004956208,0.000934642
0.004965078,0.000935691
0.004973961,0.000936745
0.004982859,0.000937805
0.004991772,0.00093887
0.005000699,0.000939942
0.00500964,0.000941019
0.005018596,0.000942102
0.005027566,0.00094319
0.00503655,0.000944285
0.005045549,0.000945385
0.005054562,0.000946491
0.005063589,0.000947602
0.005072631,0.00094872
0.005081687,0.000949843
0.005090757,0.000950972
0.005099841,0.000952107
0.00510894,0.000953247
0.005118053,0.000954394
0.00512718,0.000955546
0.005136321,0.000956704
0.005145476,0.000957868
0.005154645,0.000959038
0.005163829,0.000960213
0.005173027,0.000961395
0.005182238,0.000962582
0.005191464,0.000963776
0.005200704,0.000964975
0.005209958,0.00096618
0.005219226,0.000967391
0.005228508,0.000968607
0.005237804,0.00096983
0.005247114,0.000971059
0.005256438,0.000972293
0.005265776,0.000973534
0.005275128,0.00097478
0.005284494,0.000976032
0.005293874,0.000977291
0.005303268,0.000978555
0.005312675,0.000979825
0.005322097,0.000981101
0.005331532,0.000982383
0.005340982,0.000983671
0.005350445,0.000984965
0.005359921,0.000986266
0.005369412,0.000987572
0.005378917,0.000988884
0.005388435,0.000990202
0.005397967,0.000991526
0.005407513,0.000992856
0.005417072,0.000994192
0.005426645,0.000995535
0.005436232,0.000996883
0.005445833,0.000998237
0.005455447,0.000999598
0.005465075,0.001000964
0.005474716,0.001002337
0.005484372,0.001003715
0.00549404,0.0010051
0.005503723,0.001006491
0.005513419,0.001007888
0.005523128,0.001009291
0.005532852,0.0010107
0.005542588,0.001012115
0.005552338,0.001013537
0.005562102,0.001014964
0.005571879,0.001016398
0.00558167,0.001017838
0.005591474,0.001019284
0.005601292,0.001020736
0.005611123,0.001022194
0.005620967,0.001023658
0.005630825,0.001025129
0.005640697,0.001026606
0.005650581,0.001028089
0.005660479,0.001029578
0.005670391,0.001031073
0.005680316,0.001032575
0.005690254,0.001034083
0.005700205,0.001035597
0.00571017,0.001037117
0.005720148,0.001038643
0.005730139,0.001040176
0.005740144,0.001041715
0.005750161,0.00104326
0.005760192,0.001044812
0.005770237,0.001046369
0.005780294,0.001047933
0.005790365,0.001049504
0.005800448,0.00105108
0.005810545,0.001052663
0.005820655,0.001054252
0.005830778,0.001055848
0.005840915,0.001057449
0.005851064,0.001059057
0.005861227,0.001060672
0.005871402,0.001062292
0.005881591,0.001063919
0.005891792,0.001065553
0.005902007,0.001067192
0.005912235,0.001068838
0.005922475,0.001070491
0.005932729,0.00107215
0.005942996,0.001073815
0.005953275,0.001075486
0.005963568,0.001077164
0.005973873,0.001078848
0.005984192,0.001080539
0.005994523,0.001082236
0.006004867,0.001083939
0.006015224,0.001085649
0.006025594,0.001087365
0.006035977,0.001089088
0.006046373,0.001090817
0.006056781,0.001092552
0.006067202,0.001094294
0.006077636,0.001096042
0.006088083,0.001097797
0.006098543,0.001099558
0.006109015,0.001101326
0.0061195,0.0011031
0.006129998,0.001104881
0.006140508,0.001106668
0.006151031,0.001108461
0.006161567,0.001110261
0.006172116,0.001112068
0.006182677,0.001113881
0.006193251,0.0011157
0.006203837,0.001117526
0.006214436,0.001119359
0.006225048,0.001121198
0.006235672,0.001123043
0.006246309,0.001124896
0.006256958,0.001126754
0.00626762,0.001128619
0.006278294,0.001130491
0.006288981,0.001132369
0.006299681,0.001134254
0.006310393,0.001136145
0.006321117,0.001138043
0.006331854,0.001139948
0.006342603,0.001141859
0.006353365,0.001143776
0.006364139,0.0011457
0.006374926,0.001147631
0.006385725,0.001149568
0.006396536,0.001151512
0.006407359,0.001153463
0.006418195,0.00115542
0.006429044,0.001157384
0.006439905,0.001159354
0.006450778,0.001161331
0.006461663,0.001163315
0.00647256,0.001165305
0.00648347,0.001167302
0.006494392,0.001169306
0.006505327,0.001171316
0.006516273,0.001173333
0.006527232,0.001175356
0.006538203,0.001177387
0.006549186,0.001179423
0.006560181,0.001181467
0.006571189,0.001183517
0.006582208,0.001185574
0.00659324,0.001187638
0.006604284,0.001189708
0.00661534,0.001191785
0.006626408,0.001193869
0.006637488,0.001195959
0.006648581,0.001198056
0.006659685,0.00120016
0.006670801,0.00120227
0.00668193,0.001204388
0.00669307,0.001206512
0.006704222,0.001208642
0.006715387,0.00121078
0.006726563,0.001212924
0.006737751,0.001215075
0.006748951,0.001217233
0.006760164,0.001219397
0.006771388,0.001221569
0.006782624,0.001223747
0.006793871,0.001225931
0.006805131,0.001228123
0.006816403,0.001230321
0.006827686,0.001232527
0.006838982,0.001234738
0.006850289,0.001236957
0.006861608,0.001239183
0.006872938,0.001241415
0.006884281,0.001243654
0.006895635,0.0012459
0.006907001,0.001248153
0.006918379,0.001250413
0.006929769,0.001252679
0.00694117,0.001254952
0.006952583,0.001257233
0.006964007,0.00125952
0.006975444,0.001261813
0.006986892,0.001264114
0.006998351,0.001266422
0.007009823,0.001268736
0.007021306,0.001271057
0.0070328,0.001273385
0.007044306,0.00127572
0.007055824,0.001278062
0.007067353,0.001280411
0.007078894,0.001282767
0.007090447,0.001285129
0.007102011,0.001287499
0.007113586,0.001289875
0.007125173,0.001292258
0.007136772,0.001294648
0.007148382,0.001297046
0.007160003,0.00129945
0.007171636,0.00130186
0.00718328,0.001304278
0.007194936,0.001306703
0.007206603,0.001309135
0.007218282,0.001311573
0.007229972,0.001314019
0.007241673,0.001316471
