sus1 50,sus1 100
0.000715731,0.00141288
0.000717099,0.001415611
0.000718465,0.001418343
0.00071983,0.001421076
0.000721195,0.001423809
0.000722558,0.001426544
0.000723919,0.001429279
0.00072528,0.001432015
0.00072664,0.001434752
0.000727999,0.00143749
0.000729357,0.001440229
0.000730713,0.001442969
0.000732069,0.00144571
0.000733423,0.001448452
0.000734777,0.001451195
0.00073613,0.001453939
0.000737481,0.001456684
0.000738832,0.001459429
0.000740182,0.001462176
0.000741531,0.001464924
0.000742879,0.001467673
0.000744226,0.001470423
0.000745572,0.001473174
0.000746917,0.001475926
0.000748261,0.00147868
0.000749605,0.001481434
0.000750947,0.001484189
0.000752289,0.001486946
0.00075363,0.001489704
0.00075497,0.001492462
0.00075631,0.001495222
0.000757648,0.001497983
0.000758986,0.001500746
0.000760323,0.001503509
0.000761659,0.001506274
0.000762995,0.00150904
0.000764329,0.001511807
0.000765663,0.001514575
0.000766997,0.001517344
0.000768329,0.001520115
0.000769661,0.001522887
0.000770993,0.00152566
0.000772323,0.001528434
0.000773653,0.00153121
0.000774982,0.001533987
0.000776311,0.001536765
0.000777639,0.001539545
0.000778967,0.001542326
0.000780293,0.001545108
0.00078162,0.001547892
0.000782945,0.001550677
7.84E-04,0.001553463
7.86E-04,0.00155625
7.87E-04,0.001559039
7.88E-04,0.00156183
7.90E-04,0.001564621
7.91E-04,0.001567415
7.92E-04,0.001570209
7.94E-04,0.001573005
7.95E-04,0.001575802
7.96E-04,0.001578601
7.97E-04,0.001581402
7.99E-04,0.001584203
8.00E-04,0.001587006
8.01E-04,0.001589811
0.00080277,0.001592617
0.000804089,0.001595425
0.000805406,0.001598234
0.000806724,0.001601045
0.000808041,0.001603857
0.000809358,0.001606671
0.000810674,0.001609486
0.00081199,0.001612303
0.000813306,0.001615121
0.000814621,0.001617941
0.000815936,0.001620763
0.000817251,0.001623586
0.000818566,0.00162641
0.00081988,0.001629237
0.000821194,0.001632065
0.000822508,0.001634894
0.000823822,0.001637725
0.000825136,0.001640558
0.000826449,0.001643393
0.000827762,0.001646229
0.000829075,0.001649067
0.000830388,0.001651906
0.0008317,0.001654747
0.000833013,0.00165759
0.000834325,0.001660435
0.000835637,0.001663281
0.00083695,0.001666129
0.000838262,0.001668979
0.000839574,0.001671831
0.000840885,0.001674684
0.000842197,0.001677539
0.000843509,0.001680396
0.000844821,0.001683255
0.000846133,0.001686115
0.000847444,0.001688978
0.000848756,0.001691842
0.000850068,0.001694708
0.000851379,0.001697575
0.000852691,0.001700445
