rad6 50,rad6 100
0.000966564,0.002635669
0.000949838,0.002635928
0.000933155,0.002636202
0.000916515,0.002636491
0.000899918,0.002636794
0.000883363,0.002637111
0.000866852,0.002637443
0.000850384,0.002637789
0.000833959,0.002638149
0.000817577,0.002638524
0.000801237,0.002638914
0.000784941,0.002639318
0.000768687,0.002639736
0.000752476,0.002640169
0.000736307,0.002640616
0.000720181,0.002641078
0.000704098,0.002641554
0.000688058,0.002642045
0.00067206,0.00264255
0.000656104,0.00264307
0.000640191,0.002643604
0.000624321,0.002644152
0.000608492,0.002644715
0.000592707,0.002645293
0.000576963,0.002645885
0.000561262,0.002646491
0.000545603,0.002647112
0.000529986,0.002647748
0.000514412,0.002648397
0.00049888,0.002649062
0.000483389,0.002649741
0.000467941,0.002650434
0.000452535,0.002651142
0.000437171,0.002651864
0.000421849,0.002652601
0.000406569,0.002653352
0.000391331,0.002654118
0.000376134,0.002654899
0.00036098,0.002655693
0.000345867,0.002656503
0.000330796,0.002657327
0.000315767,0.002658165
0.000300779,0.002659018
0.000285833,0.002659885
0.000270929,0.002660767
0.000256066,0.002661664
0.000241245,0.002662575
0.000226465,0.0026635
0.000211727,0.00266444
0.00019703,0.002665395
0.000182375,0.002666364
0.000167761,0.002667347
0.000153188,0.002668345
0.000138656,0.002669358
0.000124166,0.002670385
0.000109717,0.002671427
9.53E-05,2.67E-03
8.09E-05,2.67E-03
6.66E-05,2.67E-03
5.23E-05,2.68E-03
3.81E-05,2.68E-03
2.39E-05,2.68E-03
9.73E-06,2.68E-03
-4.40E-06,2.68E-03
-1.85E-05,2.68E-03
-3.25E-05,2.68E-03
-4.65E-05,2.68E-03
-6.05E-05,2.69E-03
-7.44E-05,2.69E-03
-8.83E-05,2.69E-03
-0.000102096,0.002688796
-0.00011589,0.002690071
-0.000129644,0.00269136
-0.000143357,0.002692663
-0.00015703,0.002693981
-0.000170662,0.002695314
-0.000184253,0.002696661
-0.000197805,0.002698022
-0.000211315,0.002699398
-0.000224786,0.002700789
-0.000238216,0.002702195
-0.000251606,0.002703614
-0.000264955,0.002705049
-0.000278265,0.002706498
-0.000291534,0.002707961
-0.000304763,0.00270944
-0.000317952,0.002710932
-0.000331101,0.00271244
-0.00034421,0.002713961
-0.000357278,0.002715498
-0.000370307,0.002717049
-0.000383296,0.002718614
-0.000396245,0.002720194
-0.000409154,0.002721789
-0.000422024,0.002723398
-0.000434853,0.002725022
-0.000447643,0.00272666
-0.000460393,0.002728313
-0.000473103,0.002729981
-0.000485774,0.002731663
-0.000498405,0.002733359
-0.000510996,0.00273507
-0.000523548,0.002736796
-0.000536061,0.002738537
-0.000548534,0.002740291
-0.000560967,0.002742061
-0.000573361,0.002743845
-0.000585716,0.002745644
-0.000598031,0.002747457
-0.000610307,0.002749285
-0.000622544,0.002751127
-0.000634742,0.002752984
-0.0006469,0.002754855
-0.000659019,0.002756741
-0.000671099,0.002758642
-0.00068314,0.002760557
-0.000695142,0.002762487
-0.000707105,0.002764431
-0.000719029,0.00276639
-0.000730914,0.002768364
-0.00074276,0.002770352
-0.000754567,0.002772354
-0.000766335,0.002774372
-0.000778065,0.002776403
-0.000789756,0.00277845
-0.000801407,0.002780511
-0.000813021,0.002782586
-0.000824595,0.002784676
-0.000836131,0.002786781
-0.000847629,0.0027889
-0.000859087,0.002791034
-0.000870508,0.002793182
-0.000881889,0.002795345
-0.000893233,0.002797523
-0.000904538,0.002799715
-0.000915804,0.002801921
-0.000927032,0.002804142
-0.000938222,0.002806378
-0.000949373,0.002808629
-0.000960487,0.002810893
-0.000971562,0.002813173
-0.000982598,0.002815467
-0.000993597,0.002817776
-0.001004557,0.002820099
-0.00101548,0.002822436
-0.001026364,0.002824789
-0.001037211,0.002827156
-0.001048019,0.002829537
-0.00105879,0.002831933
-0.001069522,0.002834344
-0.001080217,0.002836769
-0.001090874,0.002839208
-0.001101493,0.002841663
-0.001112074,0.002844131
-0.001122617,0.002846615
-0.001133123,0.002849113
-0.001143591,0.002851625
-0.001154022,0.002854152
-0.001164415,0.002856694
-0.00117477,0.00285925
-0.001185088,0.00286182
-0.001195368,0.002864406
-0.001205611,0.002867005
-0.001215816,0.00286962
-0.001225984,0.002872249
-0.001236115,0.002874892
-0.001246208,0.00287755
-0.001256264,0.002880223
-0.001266283,0.00288291
-0.001276265,0.002885611
-0.001286209,0.002888327
-0.001296116,0.002891058
-0.001305986,0.002893803
-0.001315819,0.002896563
-0.001325615,0.002899337
-0.001335374,0.002902126
-0.001345096,0.00290493
-0.001354781,0.002907748
-0.001364429,0.00291058
-0.00137404,0.002913427
-0.001383615,0.002916289
-0.001393152,0.002919165
-0.001402653,0.002922055
-0.001412117,0.00292496
-0.001421544,0.00292788
-0.001430935,0.002930814
-0.001440289,0.002933763
-0.001449606,0.002936726
-0.001458887,0.002939704
-0.001468131,0.002942696
-0.001477339,0.002945703
-0.00148651,0.002948724
-0.001495645,0.00295176
-0.001504743,0.00295481
-0.001513805,0.002957875
-0.001522831,0.002960954
-0.001531821,0.002964048
-0.001540774,0.002967156
-0.001549691,0.002970279
