cib1 50,cib1 50
6.62E-05,0
6.93E-05,0
7.24E-05,0
7.55E-05,0
7.86E-05,0
8.17E-05,0
8.49E-05,0
8.80E-05,0
9.11E-05,0
9.42E-05,0
9.74E-05,0
0.000100518,0
0.00010366,0
0.000106807,0
0.000109957,0
0.000113111,0
0.000116269,0
0.000119431,0
0.000122597,0
0.000125766,0
0.00012894,0
0.000132117,0
0.000135298,0
0.000138483,0
0.000141672,0
0.000144865,0
0.000148062,0
0.000151262,0
0.000154466,0
0.000157675,0
0.000160887,0
0.000164102,0
0.000167322,0
0.000170545,0
0.000173773,0
0.000177004,0
0.000180239,0
0.000183478,0
0.00018672,0
0.000189966,0
0.000193217,0
0.000196471,0
0.000199729,0
0.00020299,0
0.000206256,0
0.000209525,0
0.000212798,0
0.000216075,0
2.19E-04,0
2.23E-04,0
2.26E-04,0
2.29E-04,0
2.33E-04,0
2.36E-04,0
2.39E-04,0
2.42E-04,0
2.46E-04,0
2.49E-04,0
2.52E-04,0
2.56E-04,0
2.59E-04,0
2.62E-04,0
2.66E-04,0
2.69E-04,0
2.72E-04,0
2.76E-04,0
2.79E-04,0
2.82E-04,0
2.86E-04,0
2.89E-04,0
2.92E-04,0
2.96E-04,0
2.99E-04,0
3.03E-04,0
3.06E-04,0
3.09E-04,0
3.13E-04,0
3.16E-04,0
3.20E-04,0
3.23E-04,0
3.26E-04,0
3.30E-04,0
3.33E-04,0
3.37E-04,0
3.40E-04,0
3.43E-04,0
3.47E-04,0
3.50E-04,0
3.54E-04,0
3.57E-04,0
3.61E-04,0
3.64E-04,0
3.67E-04,0
3.71E-04,0
3.74E-04,0
3.78E-04,0
3.81E-04,0
3.85E-04,0
3.88E-04,0
3.92E-04,0
3.95E-04,0
3.99E-04,0
4.02E-04,0
4.06E-04,0
4.09E-04,0
4.13E-04,0
4.16E-04,0
4.20E-04,0
4.23E-04,0
4.27E-04,0
4.30E-04,0
4.34E-04,0
4.37E-04,0
4.41E-04,0
4.44E-04,0
4.48E-04,0
4.51E-04,0
4.55E-04,0
4.58E-04,0
4.62E-04,0
4.65E-04,0
4.69E-04,0
4.72E-04,0
4.76E-04,0
4.80E-04,0
4.83E-04,0
4.87E-04,0
4.90E-04,0
4.94E-04,0
4.97E-04,0
5.01E-04,0
5.05E-04,0
5.08E-04,0
5.12E-04,0
5.15E-04,0
5.19E-04,0
5.23E-04,0
5.26E-04,0
5.30E-04,0
5.33E-04,0
5.37E-04,0
5.41E-04,0
5.44E-04,0
5.48E-04,0
5.52E-04,0
5.55E-04,0
5.59E-04,0
5.63E-04,0
5.66E-04,0
5.70E-04,0
5.73E-04,0
5.77E-04,0
5.81E-04,0
5.84E-04,0
5.88E-04,0
5.92E-04,0
5.95E-04,0
5.99E-04,0
6.03E-04,0
6.07E-04,0
6.10E-04,0
6.14E-04,0
6.18E-04,0
6.21E-04,0
6.25E-04,0
6.29E-04,0
6.32E-04,0
6.36E-04,0
6.40E-04,0
6.44E-04,0
6.47E-04,0
6.51E-04,0
6.55E-04,0
6.59E-04,0
6.62E-04,0
6.66E-04,0
6.70E-04,0
6.74E-04,0
6.77E-04,0
6.81E-04,0
6.85E-04,0
6.89E-04,0
6.92E-04,0
6.96E-04,0
7.00E-04,0
7.04E-04,0
7.07E-04,0
7.11E-04,0
7.15E-04,0
7.19E-04,0
7.23E-04,0
