chz1 50,chz1 50
0.000118608,0
0.00011822,0
0.000117831,0
0.000117441,0
0.000117051,0
0.000116661,0
0.00011627,0
0.000115878,0
0.000115486,0
0.000115094,0
0.000114701,0
0.000114307,0
0.000113914,0
0.00011352,0
0.000113125,0
0.00011273,0
0.000112335,0
0.00011194,0
0.000111544,0
0.000111148,0
0.000110752,0
0.000110356,0
0.000109959,0
0.000109562,0
0.000109165,0
0.000108768,0
0.000108371,0
0.000107974,0
0.000107576,0
0.000107179,0
0.000106781,0
0.000106384,0
0.000105986,0
0.000105589,0
0.000105191,0
0.000104793,0
0.000104396,0
0.000103998,0
0.000103601,0
0.000103204,0
0.000102807,0
0.00010241,0
0.000102013,0
0.000101616,0
0.00010122,0
0.000100824,0
0.000100428,0
0.000100032,0
9.96E-05,0
9.92E-05,0
9.88E-05,0
9.85E-05,0
9.81E-05,0
9.77E-05,0
9.73E-05,0
9.69E-05,0
9.65E-05,0
9.61E-05,0
9.57E-05,0
9.53E-05,0
9.49E-05,0
9.45E-05,0
9.41E-05,0
9.37E-05,0
9.34E-05,0
9.30E-05,0
9.26E-05,0
9.22E-05,0
9.18E-05,0
9.14E-05,0
9.10E-05,0
9.07E-05,0
9.03E-05,0
8.99E-05,0
8.95E-05,0
8.91E-05,0
8.87E-05,0
8.84E-05,0
8.80E-05,0
8.76E-05,0
8.72E-05,0
8.69E-05,0
8.65E-05,0
8.61E-05,0
8.57E-05,0
8.54E-05,0
8.50E-05,0
8.46E-05,0
8.42E-05,0
8.39E-05,0
8.35E-05,0
8.31E-05,0
8.28E-05,0
8.24E-05,0
8.20E-05,0
8.17E-05,0
8.13E-05,0
8.10E-05,0
8.06E-05,0
8.02E-05,0
7.99E-05,0
7.95E-05,0
7.92E-05,0
7.88E-05,0
7.85E-05,0
7.81E-05,0
7.78E-05,0
7.74E-05,0
7.71E-05,0
7.67E-05,0
7.64E-05,0
7.60E-05,0
7.57E-05,0
7.54E-05,0
7.50E-05,0
7.47E-05,0
7.43E-05,0
7.40E-05,0
7.37E-05,0
7.33E-05,0
7.30E-05,0
7.27E-05,0
7.24E-05,0
7.20E-05,0
7.17E-05,0
7.14E-05,0
7.11E-05,0
7.07E-05,0
7.04E-05,0
7.01E-05,0
6.98E-05,0
6.95E-05,0
6.92E-05,0
6.89E-05,0
6.85E-05,0
6.82E-05,0
6.79E-05,0
6.76E-05,0
6.73E-05,0
6.70E-05,0
6.67E-05,0
6.64E-05,0
6.62E-05,0
6.59E-05,0
6.56E-05,0
6.53E-05,0
6.50E-05,0
6.47E-05,0
6.44E-05,0
6.42E-05,0
6.39E-05,0
6.36E-05,0
6.33E-05,0
6.31E-05,0
6.28E-05,0
6.25E-05,0
6.22E-05,0
6.20E-05,0
6.17E-05,0
6.15E-05,0
6.12E-05,0
6.10E-05,0
6.07E-05,0
6.04E-05,0
6.02E-05,0
6.00E-05,0
5.97E-05,0
5.95E-05,0
5.92E-05,0
5.90E-05,0
5.88E-05,0
5.85E-05,0
5.83E-05,0
5.81E-05,0
5.78E-05,0
5.76E-05,0
5.74E-05,0
5.72E-05,0
5.70E-05,0
5.67E-05,0
5.65E-05,0
5.63E-05,0
5.61E-05,0
5.59E-05,0
5.57E-05,0
5.55E-05,0
5.53E-05,0
5.51E-05,0
5.49E-05,0
5.47E-05,0
5.46E-05,0
5.44E-05,0
5.42E-05,0
5.40E-05,0
5.38E-05,0
5.37E-05,0
5.35E-05,0
5.33E-05,0
5.32E-05,0
5.30E-05,0
5.28E-05,0
5.27E-05,0
5.25E-05,0
5.24E-05,0
5.22E-05,0
5.21E-05,0
5.19E-05,0
5.18E-05,0
5.17E-05,0
5.15E-05,0
5.14E-05,0
5.13E-05,0
5.11E-05,0
5.10E-05,0
5.09E-05,0
5.08E-05,0
5.07E-05,0
5.06E-05,0
5.04E-05,0
5.03E-05,0
5.02E-05,0
5.01E-05,0
5.00E-05,0
5.00E-05,0
4.99E-05,0
4.98E-05,0
4.97E-05,0
4.96E-05,0
4.95E-05,0
4.95E-05,0
4.94E-05,0
4.93E-05,0
4.93E-05,0
4.92E-05,0
4.91E-05,0
4.91E-05,0
4.90E-05,0
4.90E-05,0
4.89E-05,0
4.89E-05,0
4.89E-05,0
4.88E-05,0
4.88E-05,0
4.88E-05,0
4.87E-05,0
4.87E-05,0
4.87E-05,0
4.87E-05,0
4.87E-05,0
4.87E-05,0
4.86E-05,0
4.86E-05,0
4.86E-05,0
4.87E-05,0
4.87E-05,0
4.87E-05,0
4.87E-05,0
4.87E-05,0
4.87E-05,0
4.88E-05,0
4.88E-05,0
4.88E-05,0
4.89E-05,0
4.89E-05,0
4.89E-05,0
4.90E-05,0
4.90E-05,0
4.91E-05,0
4.92E-05,0
4.92E-05,0
4.93E-05,0
4.94E-05,0
4.94E-05,0
4.95E-05,0
4.96E-05,0
4.97E-05,0
4.98E-05,0
4.99E-05,0
4.99E-05,0
5.00E-05,0
5.02E-05,0
5.03E-05,0
5.04E-05,0
5.05E-05,0
5.06E-05,0
5.07E-05,0
5.09E-05,0
5.10E-05,0
5.11E-05,0
5.13E-05,0
5.14E-05,0
5.15E-05,0
5.17E-05,0
5.19E-05,0
5.20E-05,0
5.22E-05,0
5.23E-05,0
5.25E-05,0
5.27E-05,0
5.29E-05,0
5.30E-05,0
5.32E-05,0
5.34E-05,0
5.36E-05,0
5.38E-05,0
5.40E-05,0
5.42E-05,0
5.44E-05,0
5.47E-05,0
5.49E-05,0
5.51E-05,0
5.53E-05,0
5.56E-05,0
5.58E-05,0
5.60E-05,0
5.63E-05,0
5.65E-05,0
5.68E-05,0
5.70E-05,0
5.73E-05,0
5.76E-05,0
5.78E-05,0
5.81E-05,0
5.84E-05,0
5.87E-05,0
5.90E-05,0
5.93E-05,0
5.96E-05,0
5.99E-05,0
6.02E-05,0
6.05E-05,0
6.08E-05,0
6.11E-05,0
6.14E-05,0
6.18E-05,0
6.21E-05,0
6.24E-05,0
6.28E-05,0
6.31E-05,0
6.35E-05,0
6.38E-05,0
6.42E-05,0
6.46E-05,0
6.49E-05,0
6.53E-05,0
6.57E-05,0
6.61E-05,0
6.65E-05,0
6.68E-05,0
6.72E-05,0
6.76E-05,0
6.80E-05,0
6.85E-05,0
6.89E-05,0
6.93E-05,0
6.97E-05,0
7.02E-05,0
7.06E-05,0
7.10E-05,0
7.15E-05,0
7.19E-05,0
7.24E-05,0
7.28E-05,0
7.33E-05,0
7.38E-05,0
7.42E-05,0
7.47E-05,0
7.52E-05,0
7.57E-05,0
7.62E-05,0
7.67E-05,0
7.72E-05,0
7.77E-05,0
7.82E-05,0
7.87E-05,0
7.92E-05,0
7.98E-05,0
8.03E-05,0
8.08E-05,0
8.14E-05,0
8.19E-05,0
8.25E-05,0
8.30E-05,0
8.36E-05,0
8.42E-05,0
8.47E-05,0
8.53E-05,0
8.59E-05,0
8.65E-05,0
8.71E-05,0
8.77E-05,0
8.83E-05,0
8.89E-05,0
8.95E-05,0
9.01E-05,0
9.07E-05,0
9.14E-05,0
9.20E-05,0
9.26E-05,0
9.33E-05,0
9.39E-05,0
9.46E-05,0
9.52E-05,0
9.59E-05,0
9.66E-05,0
9.73E-05,0
9.79E-05,0
9.86E-05,0
9.93E-05,0
0.000100006,0
0.000100708,0
0.000101415,0
0.000102128,0
0.000102846,0
0.000103569,0
0.000104298,0
0.000105032,0
0.000105772,0
0.000106516,0
0.000107267,0
0.000108023,0
0.000108784,0
0.00010955,0
0.000110322,0
0.0001111,0
0.000111883,0
0.000112672,0
0.000113466,0
0.000114265,0
0.00011507,0
0.000115881,0
0.000116697,0
0.000117518,0
0.000118345,0
0.000119178,0
0.000120017,0
0.00012086,0
0.00012171,0
0.000122565,0
0.000123426,0
0.000124292,0
0.000125164,0
0.000126042,0
0.000126925,0
0.000127814,0
0.000128708,0
0.000129609,0
0.000130514,0
0.000131426,0
0.000132344,0
0.000133267,0
0.000134195,0
0.00013513,0
0.00013607,0
0.000137016,0
0.000137968,0
0.000138926,0
0.000139889,0
0.000140858,0
0.000141833,0
0.000142814,0
0.000143801,0
0.000144793,0
0.000145791,0
0.000146796,0
0.000147806,0
0.000148822,0
0.000149843,0
0.000150871,0
0.000151904,0
0.000152944,0
0.000153989,0
0.000155041,0
0.000156098,0
0.000157161,0
0.00015823,0
0.000159305,0
0.000160386,0
0.000161474,0
0.000162567,0
0.000163666,0
0.000164771,0
0.000165882,0
0.000166999,0
0.000168122,0
0.000169251,0
0.000170387,0
0.000171528,0
0.000172675,0
0.000173829,0
0.000174988,0
0.000176154,0
0.000177326,0
0.000178504,0
0.000179688,0
0.000180878,0
0.000182074,0
0.000183276,0
0.000184485,0
0.0001857,0
0.000186921,0
0.000188148,0
