caf4 50,caf4 50
-0.000497027,0
-0.000494731,0
-0.000492438,0
-0.000490149,0
-0.000487863,0
-0.00048558,0
-0.0004833,0
-0.000481023,0
-0.00047875,0
-0.00047648,0
-0.000474213,0
-0.000471949,0
-0.000469689,0
-0.000467431,0
-0.000465177,0
-0.000462926,0
-0.000460677,0
-0.000458432,0
-0.00045619,0
-0.000453951,0
-0.000451715,0
-0.000449482,0
-0.000447252,0
-0.000445026,0
-0.000442802,0
-0.000440581,0
-0.000438363,0
-0.000436147,0
-0.000433935,0
-0.000431726,0
-0.00042952,0
-0.000427316,0
-0.000425116,0
-0.000422918,0
-0.000420723,0
-0.000418531,0
-0.000416342,0
-0.000414156,0
-0.000411972,0
-0.000409791,0
-0.000407613,0
-0.000405438,0
-0.000403265,0
-0.000401095,0
-0.000398928,0
-0.000396764,0
-0.000394602,0
-0.000392443,0
-0.000390287,0
-0.000388133,0
-0.000385982,0
-0.000383834,0
-0.000381688,0
-0.000379545,0
-0.000377404,0
-0.000375266,0
-0.00037313,0
-0.000370997,0
-0.000368867,0
-0.000366739,0
-0.000364613,0
-0.000362491,0
-0.00036037,0
-0.000358252,0
-0.000356137,0
-0.000354023,0
-0.000351913,0
-0.000349805,0
-0.000347699,0
-0.000345595,0
-0.000343494,0
-0.000341395,0
-0.000339299,0
-0.000337205,0
-0.000335113,0
-0.000333024,0
-0.000330937,0
-0.000328852,0
-0.00032677,0
-0.000324689,0
-0.000322611,0
-0.000320536,0
-0.000318462,0
-0.000316391,0
-0.000314322,0
-0.000312255,0
-0.00031019,0
-0.000308127,0
-0.000306067,0
-0.000304009,0
-0.000301952,0
-0.000299898,0
-0.000297846,0
-0.000295796,0
-0.000293749,0
-0.000291703,0
-0.000289659,0
-0.000287617,0
-0.000285578,0
-0.00028354,0
-0.000281504,0
-0.000279471,0
-0.000277439,0
-0.000275409,0
-0.000273382,0
-0.000271356,0
-0.000269332,0
-0.00026731,0
-0.00026529,0
-0.000263272,0
-0.000261255,0
-0.000259241,0
-0.000257228,0
-0.000255217,0
-0.000253208,0
-0.000251201,0
-0.000249196,0
-0.000247192,0
-0.00024519,0
-0.00024319,0
-0.000241192,0
-0.000239196,0
-0.000237201,0
-0.000235208,0
-0.000233216,0
-0.000231227,0
-0.000229239,0
-0.000227252,0
-0.000225268,0
-0.000223285,0
-0.000221303,0
-0.000219323,0
-0.000217345,0
-0.000215369,0
-0.000213394,0
-0.00021142,0
-0.000209448,0
-0.000207478,0
-0.000205509,0
-0.000203542,0
-0.000201576,0
-0.000199612,0
-0.000197649,0
-0.000195688,0
-0.000193728,0
-0.00019177,0
-0.000189813,0
-0.000187857,0
-0.000185903,0
-0.00018395,0
-0.000181999,0
-0.000180049,0
-0.000178101,0
-0.000176153,0
-0.000174208,0
-0.000172263,0
-0.00017032,0
-0.000168378,0
-0.000166437,0
-0.000164498,0
-0.00016256,0
-0.000160623,0
-0.000158688,0
-0.000156754,0
-0.000154821,0
-0.000152889,0
-0.000150958,0
-0.000149029,0
-0.000147101,0
-0.000145173,0
-0.000143248,0
-0.000141323,0
-0.000139399,0
-0.000137477,0
-0.000135555,0
-0.000133635,0
-0.000131716,0
-0.000129798,0
-0.000127881,0
-0.000125965,0
-0.00012405,0
-0.000122136,0
-0.000120223,0
-0.000118311,0
-0.0001164,0
-0.000114491,0
-0.000112582,0
-0.000110674,0
-0.000108767,0
-0.000106861,0
-0.000104956,0
-0.000103051,0
-0.000101148,0
-9.92E-05,0
-9.73E-05,0
-9.54E-05,0
-9.35E-05,0
-9.16E-05,0
-8.97E-05,0
-8.78E-05,0
-8.60E-05,0
-8.41E-05,0
-8.22E-05,0
-8.03E-05,0
-7.84E-05,0
-7.65E-05,0
-7.46E-05,0
-7.27E-05,0
-7.08E-05,0
-6.89E-05,0
-6.70E-05,0
-6.51E-05,0
-6.33E-05,0
-6.14E-05,0
-5.95E-05,0
-5.76E-05,0
-5.57E-05,0
-5.38E-05,0
-5.19E-05,0
-5.01E-05,0
-4.82E-05,0
-4.63E-05,0
-4.44E-05,0
-4.25E-05,0
-4.07E-05,0
-3.88E-05,0
-3.69E-05,0
-3.50E-05,0
-3.31E-05,0
-3.13E-05,0
-2.94E-05,0
-2.75E-05,0
-2.56E-05,0
-2.38E-05,0
-2.19E-05,0
-2.00E-05,0
-1.81E-05,0
-1.63E-05,0
-1.44E-05,0
-1.25E-05,0
-1.06E-05,0
-8.77E-06,0
-6.90E-06,0
-5.03E-06,0
-3.16E-06,0
-1.29E-06,0
5.85E-07,0
2.46E-06,0
4.33E-06,0
6.20E-06,0
8.06E-06,0
9.93E-06,0
1.18E-05,0
1.37E-05,0
1.55E-05,0
1.74E-05,0
1.93E-05,0
2.11E-05,0
2.30E-05,0
2.49E-05,0
2.67E-05,0
2.86E-05,0
3.05E-05,0
3.23E-05,0
3.42E-05,0
3.61E-05,0
3.79E-05,0
3.98E-05,0
4.17E-05,0
4.35E-05,0
4.54E-05,0
4.73E-05,0
4.91E-05,0
5.10E-05,0
5.29E-05,0
5.47E-05,0
5.66E-05,0
5.85E-05,0
6.03E-05,0
6.22E-05,0
6.41E-05,0
6.59E-05,0
6.78E-05,0
6.97E-05,0
7.15E-05,0
7.34E-05,0
7.53E-05,0
7.71E-05,0
7.90E-05,0
8.09E-05,0
8.27E-05,0
8.46E-05,0
8.65E-05,0
8.83E-05,0
9.02E-05,0
9.21E-05,0
9.39E-05,0
9.58E-05,0
9.77E-05,0
9.95E-05,0
0.00010141,0
0.000103279,0
0.000105148,0
0.000107017,0
0.000108887,0
0.000110757,0
0.000112627,0
0.000114498,0
0.000116369,0
0.00011824,0
0.000120112,0
0.000121984,0
0.000123856,0
0.000125729,0
0.000127602,0
0.000129475,0
0.000131349,0
0.000133223,0
0.000135098,0
0.000136973,0
0.000138848,0
0.000140724,0
0.000142601,0
0.000144477,0
0.000146355,0
0.000148232,0
0.000150111,0
0.00015199,0
0.000153869,0
0.000155749,0
0.000157629,0
0.00015951,0
0.000161391,0
0.000163273,0
0.000165156,0
0.000167039,0
0.000168923,0
0.000170807,0
0.000172692,0
0.000174577,0
0.000176463,0
0.00017835,0
0.000180238,0
0.000182126,0
0.000184014,0
0.000185904,0
0.000187794,0
0.000189685,0
0.000191576,0
0.000193468,0
0.000195361,0
0.000197255,0
0.000199149,0
0.000201044,0
0.00020294,0
0.000204837,0
0.000206734,0
0.000208632,0
0.000210531,0
0.000212431,0
0.000214332,0
0.000216233,0
0.000218135,0
0.000220038,0
0.000221942,0
0.000223847,0
0.000225753,0
0.000227659,0
0.000229567,0
0.000231475,0
0.000233384,0
0.000235294,0
0.000237205,0
0.000239117,0
0.00024103,0
0.000242944,0
0.000244859,0
0.000246775,0
0.000248691,0
0.000250609,0
0.000252528,0
0.000254448,0
0.000256368,0
0.00025829,0
0.000260213,0
0.000262137,0
0.000264062,0
0.000265988,0
0.000267915,0
0.000269843,0
0.000271772,0
0.000273702,0
0.000275634,0
0.000277566,0
0.0002795,0
0.000281435,0
0.000283371,0
0.000285308,0
0.000287246,0
0.000289185,0
0.000291126,0
0.000293067,0
0.00029501,0
0.000296954,0
0.0002989,0
0.000300846,0
0.000302794,0
0.000304743,0
0.000306693,0
0.000308645,0
0.000310597,0
0.000312551,0
0.000314507,0
0.000316463,0
0.000318421,0
0.00032038,0
0.000322341,0
0.000324302,0
0.000326266,0
0.00032823,0
0.000330196,0
0.000332163,0
0.000334132,0
0.000336102,0
0.000338073,0
0.000340046,0
0.00034202,0
0.000343995,0
0.000345972,0
0.00034795,0
0.00034993,0
0.000351911,0
0.000353894,0
0.000355878,0
0.000357864,0
0.000359851,0
0.000361839,0
0.000363829,0
0.000365821,0
0.000367814,0
0.000369808,0
0.000371805,0
0.000373802,0
0.000375801,0
0.000377802,0
0.000379804,0
0.000381808,0
0.000383814,0
0.000385821,0
0.000387829,0
0.000389839,0
0.000391851,0
0.000393865,0
0.00039588,0
0.000397896,0
0.000399915,0
0.000401935,0
0.000403956,0
0.00040598,0
0.000408005,0
0.000410031,0
0.00041206,0
0.00041409,0
0.000416121,0
0.000418155,0
0.00042019,0
0.000422227,0
0.000424266,0
0.000426306,0
0.000428348,0
0.000430392,0
0.000432438,0
0.000434485,0
0.000436535,0
0.000438586,0
0.000440639,0
0.000442693,0
0.00044475,0
0.000446808,0
0.000448868,0
0.00045093,0
0.000452994,0
0.00045506,0
0.000457128,0
0.000459197,0
0.000461268,0
0.000463342,0
0.000465417,0
0.000467494,0
0.000469573,0
0.000471654,0
0.000473737,0
0.000475822,0
0.000477908,0
0.000479997,0
0.000482088,0
0.00048418,0
0.000486275,0
0.000488371,0
0.00049047,0
0.000492571,0
0.000494673,0
0.000496778,0
0.000498884,0
0.000500993,0
0.000503104,0
0.000505216,0
0.000507331,0
0.000509448,0
0.000511567,0
0.000513688,0
0.000515811,0
0.000517936,0
0.000520064,0
0.000522193,0
0.000524325,0
0.000526458,0
0.000528594,0
0.000530732,0
0.000532872,0
0.000535014,0
0.000537159,0
0.000539305,0
0.000541454,0
0.000543605,0
0.000545758,0
0.000547914,0
0.000550071,0
0.000552231,0
0.000554393,0
0.000556557,0
0.000558724,0
0.000560892,0
0.000563063,0
0.000565236,0
0.000567412,0
0.00056959,0
0.00057177,0
0.000573952,0
0.000576137,0
0.000578324,0
0.000580513,0
0.000582704,0
0.000584898,0
0.000587094,0
0.000589293,0
0.000591494,0
0.000593697,0
0.000595903,0
0.000598111,0
0.000600321,0
0.000602534,0
0.000604749,0
0.000606967,0
0.000609187,0
0.000611409,0
0.000613634,0
0.000615861,0
0.000618091,0
0.000620323,0
0.000622557,0
0.000624794,0
0.000627034,0
0.000629276,0
0.00063152,0
0.000633767,0
0.000636016,0
0.000638268,0
0.000640523,0
0.00064278,0
0.000645039,0
0.000647301,0
0.000649566,0
0.000651833,0
0.000654102,0
0.000656374,0
0.000658649,0
0.000660927,0
0.000663206,0
0.000665489,0
0.000667774,0
0.000670062,0
0.000672352,0
0.000674645,0
0.00067694,0
0.000679238,0
0.000681539,0
0.000683842,0
0.000686148,0
0.000688457,0
0.000690768,0
0.000693082,0
0.000695399,0
0.000697719,0
0.000700041,0
0.000702365,0
0.000704693,0
0.000707023,0
0.000709356,0
0.000711691,0
0.00071403,0
0.000716371,0
0.000718715,0
0.000721061,0
0.000723411,0
0.000725763,0
0.000728118,0
0.000730475,0
0.000732836,0
0.000735199,0
0.000737565,0
0.000739934,0
0.000742305,0
0.00074468,0
0.000747057,0
0.000749437,0
0.00075182,0
0.000754206,0
0.000756594,0
0.000758986,0
0.00076138,0
0.000763777,0
0.000766177,0
0.00076858,0
0.000770986,0
0.000773395,0
0.000775806,0
0.000778221,0
0.000780639,0
0.000783059,0
0.000785482,0
0.000787908,0
